tipo,learning_rate,x_inicial,y_inicial,x_final,y_final,f_final,iteraciones,convergido
1D,0.001,-2.0,,-0.3502580686891125,,16.224229126816503,200,False
1D,0.01,-2.0,,2.9120602669713924,,5.0077333966451425,200,False
1D,0.1,-2.0,,2.9999960768114153,,5.000000000015391,63,True
1D,0.5,-2.0,,3.0,,5.0,2,True
1D,0.9,-2.0,,3.0000004212491667,,5.000000000000178,73,True
1D,1.0,-2.0,,-2.0,,30.0,200,False
1D,1.5,-2.0,,-8.034690221294951e+60,,6.4556246952172715e+121,200,False
2D,0.001,-1.0,4.0,-0.45570041406528367,3.4557004140652836,12.060929047280812,100,False
2D,0.01,-1.0,4.0,1.60214133231574,1.3978586676842601,0.3165830389029889,100,False
2D,0.1,-1.0,4.0,1.9999997472505,1.0000002527495,1.2789769243681803e-13,73,True
2D,0.5,-1.0,4.0,2.0,1.0,0.0,2,True
2D,0.001,5.0,-1.0,4.455700414065283,-0.637133609376856,8.710670978591692,100,False
2D,0.01,5.0,-1.0,2.39785866768426,0.7347608882104938,0.22864330587438086,100,False
2D,0.1,5.0,-1.0,2.0000003159368753,0.9999997893754167,1.438849039914203e-13,72,True
2D,0.5,5.0,-1.0,2.0,1.0,0.0,2,True
2D,0.001,0.0,0.0,0.36286639062314446,0.18143319531157223,3.3502580686891132,100,False
2D,0.01,0.0,0.0,1.734760888210494,0.867380444105247,0.08793973302860714,100,False
2D,0.1,0.0,0.0,1.9999996708990886,0.9999998354495443,1.3500311979441904e-13,70,True
2D,0.5,0.0,0.0,2.0,1.0,0.0,2,True
